date,close,volume,open,high,low
16:00,79.41,7629251,79.88,79.93,79.24
2015/06/11,79.41,7616616,79.93,79.93,79.24
2015/06/10,79.54,9460977,79.23,79.79,79.01
2015/06/09,78.9,11513490,77.97,79.33,77.82
2015/06/08,77.71,10915900,77.48,77.9834,77.1
2015/06/05,77.43,9425609,78.04,78.12,77.37
2015/06/04,78.15,7714304,78.41,78.84,78.06
2015/06/03,78.56,5985530,78.91,78.93,78.27
2015/06/02,78.54,7361858,78.46,78.72,78.17
2015/06/01,78.85,7577343,78.65,79.07,78.27
2015/05/29,78.39,12504320,79.18,79.24,78.19
2015/05/28,79.33,5799033,79.43,79.45,79.02
2015/05/27,79.39,8094509,79.22,79.94,79.09
2015/05/26,79.14,6666214,79.97,80.0651,78.94
2015/05/22,79.95,5986335,80.24,80.4,79.92
2015/05/21,80.41,6055592,80.17,80.58,79.84
2015/05/20,80.48,5469358,80.93,81,80.45
2015/05/19,80.83,5718135,80.75,80.95,80.33
2015/05/18,80.74,5580524,80.97,81.13,80.5
2015/05/15,81.05,7199134,80.83,81.12,80.73
2015/05/14,80.57,5634148,80.11,80.69,80.09
2015/05/13,79.7,6459619,80.16,80.59,79.55
2015/05/12,79.95,6298308,80.03,80.29,79.36
2015/05/11,80.27,5227572,80.95,80.99,80.26
2015/05/08,80.96,6929376,80.89,81.21,80.82
2015/05/07,80.2,7216008,80.37,80.55,80
2015/05/06,80.4,7335056,80.34,80.58,79.52
2015/05/05,80.07,6589434,80.5,80.65,79.78
2015/05/04,80.35,7193074,80.48,80.9651,80.295
2015/05/01,80.29,8185224,79.76,80.32,79.63
2015/04/30,79.51,9388417,79.95,80.15,79.07
2015/04/29,79.85,11837960,80,80.31,79.72
2015/04/28,80.42,8395450,80.73,80.82,80.19
2015/04/27,80.6,9188488,80.91,81.2,80.47
2015/04/24,81,8785441,81.04,81.53,80.9
2015/04/23,80.95,14553690,81.415,82.1,80.9
2015/04/22,83.09,6742352,83.22,83.34,82.6
2015/04/21,83.08,7685744,83.39,83.8,82.9
2015/04/20,82.87,7415328,83.09,83.98,82.8
2015/04/17,82.53,9108958,83,83.22,82.03
2015/04/16,83.5,7514765,83.56,84.07,83.35
2015/04/15,83.51,7004309,83.85,84.2,83.48
2015/04/14,83.6,6779917,83.39,83.88,83.05
2015/04/13,83.43,8286169,83,83.95,82.94
2015/04/10,83.35,6995586,82.8,83.63,82.715
2015/04/09,82.89,6184986,82.63,82.95,82.01
2015/04/08,82.77,6523054,82.3,83.18,82.27
2015/04/07,82.39,6330108,82.93,83.29,82.33
2015/04/06,83.04,6851886,81.92,83.225,81.51
2015/04/02,82.43,6169783,82.17,82.59,81.915
2015/04/01,82.32,7394887,82.44,82.45,81.4503
2015/03/31,81.94,8649198,82.76,82.93,81.94
2015/03/30,82.72,6410945,82.63,82.95,82.15
2015/03/27,82.31,6441373,82.08,82.54,81.9901
2015/03/26,82.15,7307573,82.58,82.61,81.95
2015/03/25,83.01,8481956,84.37,84.37,82.86
2015/03/24,83.92,7456443,84.89,85.11,83.87
2015/03/23,84.86,9879242,84.37,85.05,84.36
2015/03/20,84.74,22145260,83.99,84.79,83.77
2015/03/19,83.38,9239424,83.46,83.75,83.12
2015/03/18,83.75,12602820,82.86,84.05,82.02
2015/03/17,82.85,7509223,83.36,83.37,82.43
2015/03/16,83.56,15618240,82.08,83.95,81.99
2015/03/13,81.83,7483326,81.98,82.28,81.15
2015/03/12,82.09,6951008,81.59,82.115,81.51
2015/03/11,81.39,10066380,81.53,81.78,80.811
2015/03/10,81.54,9680836,82.47,82.88,81.54
2015/03/09,83.09,7078677,82.79,83.21,82.68
2015/03/06,82.66,11338560,84.34,84.37,82.37
2015/03/05,84.63,5904022,84.62,84.76,84.09
2015/03/04,84.35,7342451,85.04,85.24,84.21
2015/03/03,85.16,6085191,85.35,85.44,84.54
2015/03/02,85.41,7235072,85.02,85.41,84.84
2015/02/27,85.13,7674051,85.02,85.38,84.57
2015/02/26,85.17,7964161,85.42,85.76,84.89
2015/02/25,85.46,5970334,85.7,85.795,85.2399
2015/02/24,85.5,6501292,85.51,85.74,85.01
2015/02/23,85.39,7915600,84.96,85.5,84.65
2015/02/20,84.87,9575040,84.95,85.05,84.19
2015/02/19,85.21,7267551,86.11,86.3,85.05
2015/02/18,86.26,8131866,85.76,86.39,85.52
2015/02/17,85.49,10292980,86.06,86.06,85
2015/02/13,85.9,6271749,86.03,86.15,85.5
2015/02/12,86.03,6073321,86.06,86.146,85.41
2015/02/11,85.64,7184152,85.95,86.2,85.1449
2015/02/10,85.39,7059632,85.33,85.57,84.82
2015/02/09,85.05,8811512,85.31,85.43,84.59
2015/02/06,85.61,8426107,86.56,86.61,85.15
2015/02/05,86.7,6393777,86.24,86.78,86.1
2015/02/04,85.79,9212670,85.89,86.48,85.55
2015/02/03,85.95,10747750,85.95,86,85.12
2015/02/02,85.12,10274620,84.58,85.14,83.68
2015/01/30,84.29,14683740,85.09,85.2245,84.25
2015/01/29,85.67,12054550,85.78,86.11,85.15
2015/01/28,85.15,14031710,86.63,86.91,85.01
2015/01/27,86.49,14415320,87.1,87.21,86.02
2015/01/26,89.58,9370246,89.95,89.95,88.74
2015/01/23,90.08,6745113,91.17,91.19,89.95
2015/01/22,91.62,7209727,91.04,91.69,89.87
2015/01/21,90.73,6974523,90.4,91.19,89.63
2015/01/20,91.19,9874244,91.25,91.79,90.5
2015/01/16,91.25,8811480,89.95,91.34,89.87
2015/01/15,89.86,6768130,90.49,90.5,89.34
2015/01/14,89.99,6418158,89.73,90.16,89.4312
2015/01/13,90.3,6730752,90.78,91.5,89.77
2015/01/12,89.92,5250798,90.475,90.62,89.505
2015/01/09,90.25,4873097,91.18,91.18,90.12
2015/01/08,91.1,6831358,90.48,91.225,90.13
2015/01/07,90.07,5986899,89.94,90.37,89.5626
2015/01/06,89.6,7791010,90.31,90.56,89.26
2015/01/05,90.01,8625553,90.23,91,89.85
2015/01/02,90.44,7253894,90.84,91,89.92
2014/12/31,91.09,5712138,92.04,92.55,91.03
2014/12/30,92.4,4730012,92.25,92.82,92.1
2014/12/29,92.64,4652872,93.12,93.43,92.5
2014/12/26,93.46,3148746,93.15,93.806,93.06
2014/12/24,93.14,2408140,93.5,93.89,93.14
2014/12/23,93.29,5610590,92.74,93.48,92.7
2014/12/22,92.6,7155205,92.1,92.73,92
2014/12/19,92.05,14029940,92.15,92.73,91.76
2014/12/18,92,8707666,91.01,92,90.55
2014/12/17,90.7,7415115,89.56,91.16,89.4
2014/12/16,89.36,8775895,89.14,90.96,88.38
2014/12/15,89.2,6511895,89.7,90.6,89.03
2014/12/12,89.55,6574519,90.01,90.97,89.53
2014/12/11,90.41,6468676,90,91.28,89.98
2014/12/10,90,6293222,90.95,91.1,89.96
2014/12/09,90.71,5701508,90.47,90.78,89.87
2014/12/08,90.76,4723841,90.34,91,90.32
2014/12/05,90.38,6383230,90.32,90.42,89.21
2014/12/04,90.58,6410436,90.5,90.94,90.1
2014/12/03,90,6465627,90.84,90.97,89.64
2014/12/02,91.07,7432853,90.44,91.17,90.12
2014/12/01,90.08,6744687,90.17,90.67,89.52
2014/11/28,90.43,7661778,89.09,90.56,88.97
2014/11/26,88.88,4419983,88.83,88.88,88.45
2014/11/25,88.8,6439590,88.36,88.82,88.08
2014/11/24,88.11,5569245,88.88,88.89,87.86
2014/11/21,88.6,8981741,89.26,89.43,88.46
2014/11/20,88.47,5527565,88.33,88.8,88.33
2014/11/19,88.73,6564738,88.24,88.87,87.93
2014/11/18,87.95,6419441,88.02,88.18,87.49
2014/11/17,87.84,9475739,88,88.18,87.37
2014/11/14,88.11,7559371,88.7,88.89,87.93
2014/11/13,88.6,10181590,88.94,89.84,88.46
2014/11/12,89.48,6298570,89.6,89.88,89.42
2014/11/11,89.67,6343916,89.38,89.79,89.17
2014/11/10,89.45,5916891,88.92,89.5,88.26
2014/11/07,89.13,5970903,88.74,89.2,88.25
2014/11/06,88.9,6623258,89.08,89.2,88.57
2014/11/05,89,8456249,88.74,89.49,88.36
2014/11/04,88.64,10593890,87.49,88.87,87.44
2014/11/03,87.38,7788989,86.66,87.39,86.2
2014/10/31,87.27,9352998,87.08,87.36,86.71
2014/10/30,86.94,5554176,86.16,87,85.67
2014/10/29,86.54,6874630,86.67,86.67,85.91
2014/10/28,86.47,9436620,86.2,86.65,86.17
2014/10/27,85.95,10298760,84.96,86.48,84.83
2014/10/24,85.16,13446930,85.1,85.97,84.91
2014/10/23,83.23,14291970,84.26,84.33,82.3
2014/10/22,84.23,9747540,84.06,84.59,83.92
2014/10/21,84.61,12389590,84.47,84.64,83.66
2014/10/20,84.18,8543274,83.25,84.33,82.83
2014/10/17,83.27,11664760,82.95,83.48,82.03
2014/10/16,82.24,11310180,81.65,82.8,81.57
2014/10/15,82.95,13278090,82.59,83.58,81.76
2014/10/14,83.55,8210323,83.91,83.91,83.03
2014/10/13,83.37,10065900,84.31,84.47,83.31
2014/10/10,84.69,13732400,83.95,85.28,83.91
2014/10/09,83.66,7764006,84.21,84.88,83.53
2014/10/08,84.18,8107110,83.34,84.28,83.21
2014/10/07,83.16,7376887,83.38,83.92,83.12
2014/10/06,83.57,5643730,83.57,83.94,83.19
2014/10/03,83.79,6701541,83.44,83.945,82.88
2014/10/02,83.05,8858352,83.1,83.97,82.95
2014/10/01,83.14,9024665,84.02,84.04,83.03
2014/09/30,83.74,8074700,84.34,84.36,83.68
2014/09/29,84.44,6360039,84.11,84.47,83.66
2014/09/26,84.58,5478006,84.54,84.74,83.86
2014/09/25,84.33,8200924,85.02,85.13,84.33
2014/09/24,85.24,11675050,84.33,85.4,84.33
2014/09/23,84.44,7719472,84.65,84.92,84.44
2014/09/22,84.81,8368742,84.64,84.95,84.49
2014/09/19,84.47,11377400,84.52,84.77,84.18
2014/09/18,84.19,5306613,84.18,84.44,84.073
2014/09/17,84.16,8273804,84.02,84.5,83.93
2014/09/16,84.08,7143763,83.58,84.45,83.56
2014/09/15,83.87,7004681,83.18,84.25,83.14
2014/09/12,83.26,6358495,83.21,83.38,82.86
2014/09/11,83.49,6341589,83.61,83.75,83.37
2014/09/10,83.64,6715314,83.2,83.96,83.15
2014/09/09,82.99,5202881,83.05,83.29,82.83
2014/09/08,83.32,4899594,83.57,83.6,83.13
2014/09/05,83.77,5888938,83.44,83.8,83.065
2014/09/04,83.7,7444213,82.92,83.749,82.78
2014/09/03,82.9,5851775,83.26,83.48,82.77
2014/09/02,82.98,5528857,83.21,83.49,82.71
2014/08/29,83.11,4901303,83.09,83.13,82.6
2014/08/28,83.03,4278732,83.02,83.22,82.76
2014/08/27,83.31,4248318,83.43,83.6,83.1601
2014/08/26,83.38,5169103,83.61,83.83,83.33
2014/08/25,83.54,5586758,83.74,83.82,83.31
2014/08/22,83.39,6978484,83.16,83.66,83.14
2014/08/21,83.28,7099801,82.8,83.47,82.69
2014/08/20,82.81,4581229,82.46,82.94,82.46
2014/08/19,82.69,6867656,82.35,82.87,82.12
2014/08/18,82.44,8437749,81.99,82.85,81.81
2014/08/15,81.78,7418410,82.23,82.23,81.18
2014/08/14,81.95,5925827,81.59,82.04,81.435
2014/08/13,81.48,5472167,81.64,81.795,81.11
2014/08/12,81.42,6591201,81.5,81.86,81.21
2014/08/11,81.48,8187978,81.23,81.87,81.03
2014/08/08,80.95,6202900,80.05,81.03,80.04
2014/08/07,80.14,7903960,81.02,81.18,80.01
2014/08/06,81.09,12807330,79.4,81.3,79.27
2014/08/05,79.41,7995884,78.99,79.74,78.98
2014/08/04,79.22,12056040,79.46,79.46,78.66
2014/08/01,79.65,18096440,79.25,80.67,78.83
2014/07/31,77.32,11230290,77.76,78.01,77.29
2014/07/30,78.16,8284893,78.7,79.01,78.14
2014/07/29,78.65,6419565,79.09,79.5,78.65
2014/07/28,79.26,6756207,79.41,79.62,78.85
2014/07/25,79.56,6281087,80.02,80.16,79.37
2014/07/24,80.26,5979804,80.12,80.32,79.85
2014/07/23,79.99,5891217,80.33,80.5,79.815
2014/07/22,80.1,6065951,80.29,80.58,79.77
2014/07/21,80.28,4434293,80.33,80.3999,79.95
2014/07/18,80.55,6502396,80.55,80.75,80.16
2014/07/17,80.4,5844616,80.99,81.22,80.39
2014/07/16,80.94,8940537,80.9,81.2,80.75
2014/07/15,81.26,9637625,81.51,81.515,81.09
2014/07/14,81.32,6802013,81.36,81.735,81.3
2014/07/11,81.16,7508874,81.06,81.5698,81
2014/07/10,81.61,8786288,81.27,81.91,81.19
2014/07/09,81.67,12113080,80.66,81.8,80.5
2014/07/08,80.56,9132156,80.03,80.85,79.91
2014/07/07,80.19,6673585,79.75,80.2,79.66
2014/07/03,79.98,5501056,79.93,80.14,79.635
2014/07/02,79.56,6276604,79.56,79.86,79.44
2014/07/01,79.28,8421177,78.87,79.41,78.505
2014/06/30,78.59,10297740,79.01,79.46,78.43
2014/06/27,79.02,8974764,78.6,79.19,78.52
2014/06/26,78.62,7246348,79.24,79.29,78.59
2014/06/25,79.32,12569260,79.04,79.355,78.65
2014/06/24,79.01,8157255,79.42,79.44,78.915
2014/06/23,79.52,6938894,80.06,80.06,79.36
2014/06/20,79.93,11659760,80.44,80.5,79.825
2014/06/19,80.24,12485120,79.85,80.57,79.8
2014/06/18,79.79,9614222,79.44,79.94,79.13
2014/06/17,79.58,5337262,79.61,79.79,79.35
2014/06/16,79.69,5256033,79.52,79.94,79.11
2014/06/13,79.64,5213978,79.73,79.94,79.5
2014/06/12,79.76,6526807,79.82,80.03,79.69
2014/06/11,80.06,7453733,80.05,80.3,79.88
